Id,Name,ComponentCode__c,Status__c,Category__c,ComponentDescription__c
a2I8H000000krTzUAI,T81,T81,Active,Escalator,ESCALATOR - HANDRAIL ROLLERS / NEWELS - RIGHT
a2I8H000000krU0UAI,T78,T78,Active,Escalator,ESCALATOR - HANDRAIL GUIDES - RIGHT
a2I8H000000krU1UAI,T79,T79,Active,Escalator,ESCALATOR - HANDRAIL ROLLERS / NEWELS - LEFT
a2I8H000000krU2UAI,T80,T80,Active,,ESCALATOR - MDSB UPGRADE (MAIN DRIVE SHAFT BRAKE)
a2I8H000000krU3UAI,T82,T82,Active,Escalator,ESCALATOR - HANDRAIL SPEED SENSOR - LEFT
a2I8H000000krU4UAI,T83,T83,Active,Escalator,ESCALATOR - HANDRAIL SPEED SENSOR - RIGHT
a2I8H000000krU5UAI,T84,T84,Active,Escalator,ESCALATOR - MACHINE/DRIVE CHAIN/BELT/SPROCKET
a2I8H000000krU6UAI,T85,T85,Active,Escalator,ESCALATOR - MACHINE DRIVE SHAFT BRAKE
a2I8H000000krU7UAI,573,573,Active,,MACHINE ROOM G6 SHEAVE
a2I8H000000krU8UAI,574,574,Active,,MACHINE ROOM IDLER SHEAVE
a2I8H000000krU9UAI,575,575,Active,,MACHINE ROOM ENCODER
a2I8H000000krUAUAY,576,576,Active,,MACHINE ROOM WAYSIDE SIGNALLING UNIT
a2I8H000000krUBUAY,577,577,Active,,MACHINE ROOM WAYSIDE SIGNALLING UNIT POWER SUPPLY
a2I8H000000krUCUAY,578,578,Active,,MACHINE ROOM TENSION WEIGHT LIMIT SWITCH
a2I8H000000krUDUAY,579,579,Active,,MACHINE ROOM CONDUIT SHEAVE ASSEMBLY
a2I8H000000krUEUAY,580,580,Active,,MACHINE ROOM ROPE OILER
a2I8H000000krUFUAY,590,590,Active,,CONTROL ROOM SHEAVE CONTROL CAB-SAFETY
a2I8H000000krUGUAY,A99,A99,Active,,CAR CONTROLLER - OTHER
a2I8H000000krUHUAY,B01,B01,Active,Group Controller,GROUP CONTROLLER - RELAY
a2I8H000000krUIUAY,B02,B02,Active,Group Controller,GROUP CONTROLLER - RESISTOR
a2I8H000000krUJUAY,B03,B03,Active,,GROUP CONTROLLER - RECTIFIER
a2I8H000000krUKUAY,B04,B04,Active,Group Controller,GROUP CONTROLLER - OVERLOAD
a2I8H000000krULUAY,B05,B05,Active,Group Controller,"GROUP CONTROLLER - PC BOARD, PROCESSOR"
a2I8H000000krUMUAY,B06,B06,Active,Group Controller,GROUP CONTROLLER - FUSE / BREAKER
a2I8H000000krUNUAY,B07,B07,Active,,GROUP CONTROLLER - TRANSFORMER
a2I8H000000krUOUAY,B08,B08,Active,Group Controller,GROUP CONTROLLER- POWER SUPPLY/RECTIFIER/TRANSFORM
a2I8H000000krUPUAY,B09,B09,Active,Group Controller,GROUP CONTROLLER - SES(FIREMAN'S SERVICE)
