Category__c,Department__c,Description__c,Id,Name
Safety,Service,"JUL-STRAINS,FRACT,LACER-SER",a2hDD000003OBrpYAG,99354
Safety,Service,FEB-FATALITY PREV. AREAS-SER,a2hDD000003OBrqYAG,99355
Safety,Service,JUN-ELEC SAFETY/ARC FLASH-SER,a2hDD000003OBrrYAG,99356
Safety,Service,SEP-INDUSTRIAL HYGYN-SER,a2hDD000003OBrsYAG,99357
Safety,Service,AUG-WASTE MGMT&HAZARD COM-SER,a2hDD000003OBrtYAG,99358
Safety,Service,MAR-MATERIAL HANDLING-SER,a2hDD000003OBruYAG,99359
Safety,Service,MAY-VEHICLE SAFETY-SER,a2hDD000003OBrvYAG,99360
Safety,Service,OCT-HOISTING & RIGGING-SER,a2hDD000003OBrwYAG,99361
Safety,Service,NOV-FIR AID & BLOOD PATH-SER,a2hDD000003OBrxYAG,99362
Safety,Service,DEC-POWER AND HAND TOOLS-SER,a2hDD000003OBryYAG,99363
Safety,Service,LOCAL INITIATIVES-SER,a2hDD000003OBrzYAG,99364
,NE,WK12 SZ/JOB HAZARD ANALYSIS-NE,a2hDD000003OBpUYAW,99202
,NE,WK11 SZ/LESN LERND/RAILS-NE,a2hDD000003OBpVYAW,99203
,NE,WK26 SZ/ELEC LOCKOUT/TAGOUT-NE,a2hDD000003OBpWYAW,99204
,NE,WK02 SZ/PERS PROT EQUIP-NE,a2hDD000003OBpXYAW,99205
,NE,WK33 SZ/DRUG TEST/SUBS ABS-NE,a2hDD000003OBpYYAW,99206
,NE,WK01 SZ/JUMPER SAFETY-NE,a2hDD000003OBpZYAW,99207
,NE,WK08 SZ/EMERG. EVAC PASSGR-NE,a2hDD000003OBpaYAG,99208
,NE,WK50 SZ/LESN LERND/ROTAT EQ-NE,a2hDD000003OBpbYAG,99209
,NE,WK21 SZ/BACK WELNESS-NE,a2hDD000003OBpcYAG,99210
,NE,WK38 SZ/OVERHEAD PROT-NE,a2hDD000003OBpdYAG,99211
,NE,WK12 SZ/LESN LERND/STOR ENER-NE,a2hDD000003OBpeYAG,99212
,NE,WK28 SZ/SPG 113-NE,a2hDD000003OBpfYAG,99213
,NE,WK13 SZ/PIT SAFETY-NE,a2hDD000003OBpgYAG,99214
,NE,WK32 SZ/INDUSTRIAL HYGIENE-NE,a2hDD000003OBphYAG,99215
,NE,WK14 SZ/ACCESS ALERT-NE,a2hDD000003OBpiYAG,99216
,NE,WK20 SZ/LESN LERND/SPRAINS-NE,a2hDD000003OBpjYAG,99217
,NE,WK35 SZ/FALL PROTECTION-NE,a2hDD000003OBpkYAG,99218
